class,filename,path,brightness,R,G,B,R2,G2,B2,valid_pixel_ratio,contrast2,r_bin_0,r_bin_1,r_bin_2,r_bin_3,r_bin_4,g_bin_0,g_bin_1,g_bin_2,g_bin_3,g_bin_4,b_bin_0,b_bin_1,b_bin_2,b_bin_3,b_bin_4
Bombali Ghevda,1.jpg,Dataset_split/train\Bombali Ghevda\1.jpg,249.61871428571428,251.91671428571428,248.90457142857142,247.17585714285715,216.1095041322314,201.56198347107437,177.13842975206612,0.06914285714285714,25.70927193305729,0.0,0.0,0.010699001426533523,0.10057061340941512,0.8887303851640513,0.0,0.0007132667617689016,0.029957203994293864,0.137660485021398,0.8316690442225392,0.0007132667617689016,0.017118402282453638,0.08345221112696148,0.17403708987161198,0.724679029957204
Bombali Ghevda,10.jpg,Dataset_split/train\Bombali Ghevda\10.jpg,245.12614285714287,248.84142857142857,244.49428571428572,238.52342857142858,205.2383939774153,187.62358845671267,155.39021329987452,0.11385714285714285,36.832543094064704,0.0,0.004484304932735426,0.05630293971101146,0.0981564524165421,0.841056302939711,0.0,0.013951170901843548,0.08121574489287493,0.1260587942202292,0.7787742899850523,0.004982561036372696,0.060787244643746886,0.12506228201295466,0.24015944195316394,0.5690084703537618
Bombali Ghevda,10_aug0.jpg,Dataset_split/train\Bombali Ghevda\10_aug0.jpg,244.25657142857142,248.04314285714287,243.44128571428573,238.36614285714285,212.10617551462622,199.4442036836403,174.72156013001083,0.13185714285714287,36.67701416811715,0.011155734047300312,0.006693440428380187,0.03435966086568496,0.06604194556001784,0.8817492190986167,0.011155734047300312,0.012048192771084338,0.05220883534136546,0.09103078982597054,0.8335564480142793,0.015618027666220438,0.038821954484605084,0.08790718429272647,0.20169567157518964,0.6559571619812584
Bombali Ghevda,10_aug1.jpg,Dataset_split/train\Bombali Ghevda\10_aug1.jpg,223.42342857142856,229.09028571428573,222.23242857142858,214.473,189.03313452617627,175.6129887342611,150.33333333333334,0.21557142857142858,57.49525797292004,0.05606299212598425,0.011653543307086614,0.057007874015748035,0.07716535433070866,0.7981102362204724,0.05606299212598425,0.021417322834645668,0.07307086614173228,0.11716535433070867,0.7322834645669292,0.06204724409448819,0.06740157480314961,0.12598425196850394,0.17417322834645668,0.5703937007874016
Bombali Ghevda,10_aug2.jpg,Dataset_split/train\Bombali Ghevda\10_aug2.jpg,241.90385714285713,247.501,240.8352857142857,232.41842857142856,217.91587301587302,202.25079365079364,170.7642857142857,0.18,31.855181032528073,0.000977198697068404,0.006188925081433224,0.029315960912052116,0.0755700325732899,0.8879478827361563,0.0013029315960912053,0.010423452768729642,0.050814332247557006,0.11009771986970684,0.8273615635179153,0.006188925081433224,0.040390879478827364,0.11433224755700326,0.21498371335504887,0.6241042345276873
Bombali Ghevda,11.jpg,Dataset_split/train\Bombali Ghevda\11.jpg,245.2,248.91885714285715,244.5262857142857,238.77428571428572,206.82603406326035,189.3905109489051,157.823600973236,0.11742857142857142,36.801179011616206,0.0,0.0061162079510703364,0.053007135575942915,0.10244648318042814,0.8384301732925586,0.0,0.014271151885830785,0.0856269113149847,0.12844036697247707,0.7716615698267074,0.0056065239551478085,0.06574923547400612,0.12793068297655455,0.23649337410805302,0.5642201834862385
Bombali Ghevda,11_aug0.jpg,Dataset_split/train\Bombali Ghevda\11_aug0.jpg,249.21085714285715,251.61714285714285,248.6052857142857,245.8537142857143,212.89958158995816,196.96234309623432,168.3326359832636,0.06828571428571428,30.290289962623827,0.0,0.0007412898443291327,0.04225352112676056,0.072646404744255,0.8843587842846553,0.0,0.0029651593773165306,0.07042253521126761,0.10303928836174944,0.8235730170496665,0.0,0.04225352112676056,0.10896960711638251,0.18235730170496664,0.6664195700518903
Bombali Ghevda,11_aug1.jpg,Dataset_split/train\Bombali Ghevda\11_aug1.jpg,239.69542857142858,243.07042857142858,238.80328571428572,235.20271428571428,202.15756035578144,188.1753494282084,164.39135959339262,0.11242857142857143,43.84596353451041,0.02908514013749339,0.004759386567953464,0.05023796932839767,0.06821787414066631,0.8476996298254892,0.02908514013749339,0.008989952406134321,0.06768905341089371,0.09836065573770492,0.7958751983077736,0.030671602326811213,0.05023796932839767,0.10100475938656796,0.17556848228450556,0.6425171866737176
Bombali Ghevda,11_aug2.jpg,Dataset_split/train\Bombali Ghevda\11_aug2.jpg,219.24685714285715,222.82085714285714,218.50014285714286,213.49385714285714,187.88808373590982,178.33735909822866,158.85426731078906,0.17742857142857144,63.691173581875674,0.08313253012048193,0.010843373493975903,0.03493975903614458,0.07590361445783132,0.7951807228915663,0.08353413654618475,0.013654618473895583,0.051807228915662654,0.09437751004016064,0.7566265060240964,0.08674698795180723,0.03614457831325301,0.0963855421686747,0.19678714859437751,0.5839357429718876
Bombali Ghevda,11_aug3.jpg,Dataset_split/train\Bombali Ghevda\11_aug3.jpg,235.62685714285715,238.81014285714286,234.79628571428572,231.38771428571428,197.42709677419356,185.39483870967743,163.50967741935483,0.11071428571428571,46.17596682603108,0.03492239467849224,0.006097560975609756,0.04711751662971175,0.07261640798226164,0.8392461197339246,0.03492239467849224,0.009977827050997782,0.06430155210643015,0.09811529933481153,0.7926829268292683,0.03492239467849224,0.04878048780487805,0.09368070953436806,0.19900221729490022,0.6236141906873615
Bombali Ghevda,11_aug7.jpg,Dataset_split/train\Bombali Ghevda\11_aug7.jpg,203.62142857142857,206.60557142857144,203.09428571428572,198.452,177.50974279033514,169.06157443491816,152.90491036632892,0.18328571428571427,74.61943136234052,0.12279384153210665,0.013894104393541119,0.03529853548629366,0.06796845662786331,0.7600450619601953,0.12354487420202778,0.016522718738265114,0.04656402553511078,0.08036049568156214,0.7330078858430342,0.12429590687194893,0.039429215170859934,0.07059707097258731,0.18174990612091627,0.5839279008636876
Bombali Ghevda,12.jpg,Dataset_split/train\Bombali Ghevda\12.jpg,138.782,140.93428571428572,138.29614285714285,135.6627142857143,160.3261868300153,150.20367534456355,132.14395099540582,0.09328571428571429,72.82314807775884,0.11180555555555556,0.03680555555555556,0.02361111111111111,0.075,0.7527777777777778,0.11458333333333333,0.03611111111111111,0.044444444444444446,0.09652777777777778,0.7083333333333334,0.11805555555555555,0.05763888888888889,0.0763888888888889,0.1736111111111111,0.5743055555555555
